new/used,name,milage,price,id,drive mode,fuel consumption,fuel type,accident history,clean title,one owner?,personal use,factory recall
Used,2022 Ford F-250 Lariat," 19,841 mi.","$79,995",57481e6e-4ade-48a9-baab-7a0a2c92ae7c,"0–0

",Four-wheel Drive ,Diesel ,None reported,Yes,Yes,Yes,At least 1 open recall reported
Used,2020 Ford EcoSport SE," 38,503 mi.","$20,205",3f7f449b-d6de-4e94-b3a2-d340e560a927,23–29,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2015 Ford F-150 XLT," 124,585 mi.","$24,996",abbc4bd2-b96d-4c83-a783-9e657dda01dc,17–23,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,No,Yes,At least 1 open recall reported
Used,2021 Chevrolet Trax LT," 60,960 mi.","$18,839",21367341-a6ce-452d-8e79-9c681f3a3105,24–29,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2020 Cadillac XT4 Premium Luxury," 61,125 mi.","$28,447",143e1ea1-0be5-45db-9b7b-dbba1bb01c47,22–29,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2020 Ford F-150 XL," 55,825 mi.","$32,006",f2d5b1fe-dcc5-488e-9eb9-3f9598f40378,18–23,Four-wheel Drive ,Gasoline ,None reported,Yes,No,Yes,
,,,,d9806b53-ba00-4912-8d56-2afb07ef58ef,,,,,,,,
Used,2020 Ford Explorer Limited," 32,875 mi.","$34,603",ed6b7ac3-5925-4818-befe-51afb11b3c77,20–27,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,No,
Used,2020 GMC Sierra 2500 Base," 124,148 mi.","$33,369",44c6197f-2965-45a9-8239-66b27c2aca9c,"0–0

",Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,Yes,Yes,
Used,2021 Ford Explorer Limited," 43,704 mi.","$36,598",21e023dc-c446-48d2-80c3-e5aa44fdafa4,20–27,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2020 Chevrolet Equinox LS, 0 mi.,"$22,789",f6cd78f1-7fd7-4ea3-ad49-7151d4a28158,25–30,All-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2018 Ford EcoSport SE," 61,125 mi.","$16,582",4cabac4b-77bf-4a93-93b5-db77c1baeb9b,23–29,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,No,
Used,2023 Chevrolet Silverado 1500 RST," 2,591 mi.","$50,221",1cb224d6-6631-4626-a6d6-3b38ec5c7b34,18–21,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2021 Ford F-150 XL," 30,433 mi.","$38,170",2c2383e0-6743-4712-b9e3-99e89c6dde1e,18–24,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Used,2021 Ford F-150 XL," 13,286 mi.","$39,944",b828bb2a-9d57-4943-8a63-2a53fa7ef547,18–24,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,At least 1 open recall reported
,,,,6b48b4e4-cebb-4ca0-b88f-94033564a69b,,,,,,,,
,,,,9f4ae17c-bba8-42de-89ea-a2e5d5aae1b2,,,,,,,,
Used,2016 Mazda CX-9 Sport," 88,331 mi.","$16,046",3cad1452-d483-4deb-991d-4fcedcc24ed1,21–27,All-wheel Drive ,Gasoline ,None reported,Yes,No,Yes,
Used,2021 Ford Explorer XLT," 46,050 mi.","$35,040",d30f1c2a-4c6f-4ffb-ab06-fa330dc24645,20–27,Four-wheel Drive ,Gasoline ,None reported,Yes,Yes,Yes,
Chevrolet Certified,2023 Chevrolet Camaro , 166 mi.,"$57,999",fbfe9208-0098-4d46-a256-fdf20f7d869b,–,– ,– ,None reported,,Yes,Yes,
Chevrolet Certified,2020 Chevrolet Trax ," 23,214 mi.","$19,599",b4e51d7c-d34d-4e3a-82fc-1eab7bddcb95,–,– ,– ,At least 1 accident or damage reported,,Yes,Yes,
GMC Certified,2022 GMC Sierra 1500 ," 6,620 mi.","$50,999",f01b679b-67b6-4d4b-9d6e-5db0746b37e4,–,– ,– ,None reported,,Yes,Yes,
